symbol,name,price,exchange,exchangeShortName,type
IMP.JO,Impala Platinum Holdings Limited,9479,Johannesburg,JNB,stock
TGA.JO,Thungela Resources Limited,11252,Johannesburg,JNB,stock
NPH.JO,Northam Platinum Holdings Limited,10485,Johannesburg,JNB,stock
RMH.JO,RMB Holdings Limited,39,Johannesburg,JNB,stock
SHP.JO,Shoprite Holdings Limited,27698,Johannesburg,JNB,stock
PPC.JO,PPC Ltd,450,Johannesburg,JNB,stock
SSW.JO,Sibanye Stillwater Limited,1541,Johannesburg,JNB,stock
GFI.JO,Gold Fields Limited,34870,Johannesburg,JNB,stock
DSY.JO,Discovery Limited,20800,Johannesburg,JNB,stock
AEL.JO,Altron Limited,2037,Johannesburg,JNB,stock
BOX.JO,Boxer Retail Ltd.,6675,Johannesburg,JNB,stock
REM.JO,Remgro Limited,14697,Johannesburg,JNB,stock
MSP.JO,MAS P.L.C.,2140,Johannesburg,JNB,stock
MTH.JO,Motus Holdings Limited,8937,Johannesburg,JNB,stock
ADH.JO,ADvTECH Limited,3175,Johannesburg,JNB,stock
NTC.JO,Netcare Limited,1367,Johannesburg,JNB,stock
MTN.JO,MTN Group Limited,11805,Johannesburg,JNB,stock
HAR.JO,Harmony Gold Mining Company Limited,18959,Johannesburg,JNB,stock
DRD.JO,DRDGOLD Limited,2121,Johannesburg,JNB,stock
KIO.JO,Kumba Iron Ore Limited,37000,Johannesburg,JNB,stock
BAW.JO,Barloworld Limited,10222,Johannesburg,JNB,stock
JSE.JO,JSE Limited,12601,Johannesburg,JNB,stock
WHL.JO,Woolworths Holdings Limited,5832,Johannesburg,JNB,stock
VOD.JO,Vodacom Group Limited,11661,Johannesburg,JNB,stock
APN.JO,Aspen Pharmacare Holdings Limited,18249,Johannesburg,JNB,stock
AMS.JO,Anglo American Platinum Limited,59081,Johannesburg,JNB,stock
PPH.JO,Pepkor Holdings Limited,2540,Johannesburg,JNB,stock
NED.JO,Nedbank Group Limited,28525,Johannesburg,JNB,stock
BVT.JO,The Bidvest Group Limited,24654,Johannesburg,JNB,stock
ANG.JO,AngloGold Ashanti Limited,56074,Johannesburg,JNB,stock
SOL.JO,Sasol Limited,8229,Johannesburg,JNB,stock
GRT.JO,Growthpoint Properties Limited,1268,Johannesburg,JNB,stock
SBK.JO,Standard Bank Group Limited,22110,Johannesburg,JNB,stock
FSR.JO,FirstRand Limited,7217,Johannesburg,JNB,stock
MRP.JO,Mr Price Group Limited,24241,Johannesburg,JNB,stock
ABG.JO,Absa Group Limited,19042,Johannesburg,JNB,stock
RDF.JO,Redefine Properties Limited,440,Johannesburg,JNB,stock
RFG.JO,RFG Holdings Limited,1971,Johannesburg,JNB,stock
ARI.JO,African Rainbow Minerals Limited,14000,Johannesburg,JNB,stock
MRF.JO,Merafe Resources Limited,109,Johannesburg,JNB,stock
RBX.JO,Raubex Group Limited,4240,Johannesburg,JNB,stock
CLH.JO,City Lodge Hotels Limited,409,Johannesburg,JNB,stock
OCT.JO,Octodec Investments Limited,1075,Johannesburg,JNB,stock
BAT.JO,Brait PLC,196,Johannesburg,JNB,stock
TSG.JO,Tsogo Sun Gaming Limited,887,Johannesburg,JNB,stock
FTB.JO,Fairvest Limited,467,Johannesburg,JNB,stock
PIK.JO,Pick n Pay Stores Limited,2787,Johannesburg,JNB,stock
OUT.JO,OUTsurance Group Limited,6919,Johannesburg,JNB,stock
GML.JO,Gemfields Group Limited,151,Johannesburg,JNB,stock
FGL.JO,Finbond Group Limited,76,Johannesburg,JNB,stock
MTA.JO,Metair Investments Limited,600,Johannesburg,JNB,stock
