,Company,Rev Growth,NI Growth,EV/EBITDA,EV/Rev,EBITDA Margin,Operating Margin,Debt/Equity,PE,ROE,ROA,Industry,Sector,Name,Beta,Trailing PEG Ratio,Revenue,EBITDA
0,IMP.JO,-0.026,0.15,0.15,0.15,0.09042,0.04681,3.774,,-0.15966,0.00141,other-precious-metals-mining,basic-materials,Impala Platinum Holdings Limited,1.49,,85252997120.0,7709000192.0
1,TGA.JO,0.167,-0.579,-0.579,-0.579,0.18664,0.06483,0.513,4.665008,0.13350001,0.06021,thermal-coal,energy,Thungela Resources Limited,-0.901,,33027000320.0,6163999744.0
2,NPH.JO,-0.031,-0.165,-0.165,-0.165,0.16014999,0.07453,33.805,27.304688,0.049429998,0.038829997,other-precious-metals-mining,basic-materials,Northam Platinum Holdings Limited,,,30306166784.0,4853420032.0
3,RMH.JO,-0.985,,,,0.0,-7.33333,,,,,banks-regional,financial-services,RMB Holdings Limited,-0.014,,-3000000.0,
4,SHP.JO,0.101,0.05,0.05,0.05,0.06268,0.05069,178.059,23.04326,0.24232,0.06945,department-stores,consumer-cyclical,Shoprite Holdings Ltd,0.126,,240718004224.0,15088000000.0
5,PPC.JO,-0.042,-0.079,-0.079,-0.079,0.120170005,0.09907,12.12,45.0,0.022809999,0.04188,building-materials,basic-materials,PPC Ltd,0.975,,9836000256.0,1182000000.0
6,SSW.JO,0.072,,,,0.0014599999,-0.16232,87.111,,-0.11432,-0.03847,other-precious-metals-mining,basic-materials,Sibanye Stillwater Limited,1.299,,112128999424.0,164000000.0
7,GFI.JO,,,,,0.51061,0.44709,54.888,26.598019,0.25844,0.13804,gold,basic-materials,Gold Fields Limited,0.765,,5201600000.0,2656000000.0
8,DSY.JO,0.099,0.215,0.215,0.215,0.15944,0.14022,37.579,19.330854,0.13708,0.02832,insurance-life,financial-services,Discovery Limited,1.01,,79654002688.0,12700000256.0
9,AEL.JO,-0.015,,,,0.1752,0.09751,39.698,12.496933,0.16203,0.06819,information-technology-services,technology,Altron Limited,0.068,,8264999936.0,1448000000.0
10,BOX.JO,0.12,0.113,0.113,0.113,0.06979,0.04091,239.662,24.361313,,,department-stores,consumer-cyclical,,,,39530999808.0,2759000064.0
11,REM.JO,0.042,-0.357,-0.357,-0.357,0.07266,0.04754,5.528,103.50001,0.01058,0.011519999,asset-management,financial-services,Remgro Limited,0.447,,50424000512.0,3664000000.0
12,MSP.JO,0.067,1.043,1.043,1.043,0.62880003,0.62233,43.99,6.3880596,0.118140005,0.024130002,real-estate-diversified,real-estate,MAS P.L.C.,0.719,,95794000.0,60235000.0
13,MTH.JO,-0.017,0.012,0.012,0.012,0.06418,0.04379,157.223,6.3473015,0.13594,0.050180003,auto-truck-dealerships,consumer-cyclical,Motus Holdings Limited,1.019,,112771997696.0,7238000128.0
14,ADH.JO,0.087,0.164,0.164,0.164,0.23179,0.20245,34.027,16.97861,0.19578,0.10694,education-training-services,consumer-defensive,ADvTECH Limited,0.574,,8202100224.0,1901200000.0
15,NTC.JO,0.083,0.26,0.26,0.26,0.15574001,0.124239996,115.284,12.541285,0.14055,0.06887,medical-care-facilities,healthcare,Netcare Limited,0.319,,25201999872.0,3924999936.0
16,MTN.JO,-0.196,,,,0.34944,0.22681999,111.214,,-0.08007,0.06784,telecom-services,communication-services,MTN Group Limited,1.055,,199158005760.0,69593997312.0
